site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
vancouver,goes_box3,1.0,-1.7,-5.4,2.2,1045,1102,,
vancouver,goes_box5,1.0,-2.1,-5.8,1.9,1045,1102,,
vancouver,goes_nearest_east,1.0,-3.7,-7.4,0.1,1065,1108,,
vancouver,goes_nearest_west_GOES17,1.0,-3.2,-11.1,4.5,208,251,,
vancouver,goes_nearest_west_GOES18,1.0,-1.8,-6.1,2.5,837,851,,
vancouver,goes_nearest_WINTER,1.0,1.3,-5.9,8.0,200,160,,
vancouver,goes_nearest_east_WINTER,1.0,-1.5,-6.9,3.9,198,161,,
vancouver,goes_nearest_SPRING,1.0,-1.6,-8.4,5.0,274,310,,
vancouver,goes_nearest_east_SPRING,1.0,-1.4,-8.2,5.4,284,310,,
vancouver,goes_nearest_SUMMER,1.0,1.6,-5.9,8.6,260,352,,
vancouver,goes_nearest_east_SUMMER,1.0,1.7,-5.1,8.9,265,353,,
vancouver,goes_nearest_AUTUMN,1.0,0.3,-6.4,7.5,311,284,,
vancouver,goes_nearest_east_AUTUMN,1.0,-3.3,-10.1,3.2,318,288,,
vancouver,human_minus_goes,1.0,9.0,6.6,11.3,1045,1102,,
vancouver,human_minus_goes_east,1.0,10.7,8.3,13.3,1065,1108,,
vancouver,metar_CYVR,2.0,8.2,5.7,10.7,1948,1948,36.7,28.5
vancouver,metar_CYVR_WINTER,2.0,6.0,1.3,10.3,350,350,19.8,13.8
vancouver,metar_CYVR_SPRING,2.0,8.6,4.0,13.2,522,522,35.0,26.4
vancouver,metar_CYVR_SUMMER,2.0,10.0,4.9,15.0,551,552,53.4,43.4
vancouver,metar_CYVR_AUTUMN,2.0,7.4,2.9,11.9,525,524,32.1,24.7
vancouver,goes_nearest,2.0,-2.4,-5.9,1.2,1096,1140,,
vancouver,goes_box3,2.0,-2.0,-5.6,1.6,1096,1140,,
vancouver,goes_box5,2.0,-2.2,-5.8,1.3,1096,1140,,
vancouver,goes_nearest_east,2.0,-3.9,-7.5,-0.3,1115,1146,,
vancouver,goes_nearest_west_GOES17,2.0,-3.5,-10.9,4.1,219,258,,
vancouver,goes_nearest_west_GOES18,2.0,-2.1,-6.5,2.0,877,882,,
vancouver,goes_nearest_WINTER,2.0,1.1,-5.0,6.9,236,185,,
vancouver,goes_nearest_east_WINTER,2.0,-1.4,-6.2,3.3,234,186,,
vancouver,goes_nearest_SPRING,2.0,-1.8,-8.7,5.2,285,320,,
vancouver,goes_nearest_east_SPRING,2.0,-1.5,-8.1,5.1,294,320,,
vancouver,goes_nearest_SUMMER,2.0,1.6,-5.9,8.6,260,352,,
vancouver,goes_nearest_east_SUMMER,2.0,1.7,-5.1,8.9,265,353,,
vancouver,goes_nearest_AUTUMN,2.0,0.4,-6.2,7.7,315,287,,
vancouver,goes_nearest_east_AUTUMN,2.0,-3.2,-10.0,3.4,322,291,,
vancouver,human_minus_goes,2.0,9.4,7.1,11.6,1096,1140,,
vancouver,human_minus_goes_east,2.0,11.1,8.7,13.5,1115,1146,,
vancouver,metar_CYVR,5.0,8.0,5.5,10.5,2038,2038,35.9,27.9
vancouver,metar_CYVR_WINTER,5.0,5.5,1.5,9.8,414,414,19.2,13.7
vancouver,metar_CYVR_SPRING,5.0,8.6,4.0,13.2,535,535,34.7,26.0
vancouver,metar_CYVR_SUMMER,5.0,10.0,4.9,15.0,551,552,53.4,43.4
vancouver,metar_CYVR_AUTUMN,5.0,7.2,2.6,11.8,538,537,31.9,24.7
vancouver,goes_nearest,5.0,-2.3,-6.0,1.2,1152,1193,,
vancouver,goes_box3,5.0,-2.2,-5.8,1.5,1152,1193,,
vancouver,goes_box5,5.0,-2.5,-6.1,1.2,1152,1193,,
vancouver,goes_nearest_east,5.0,-4.1,-7.5,-0.6,1174,1199,,
vancouver,goes_nearest_west_GOES17,5.0,-3.7,-10.8,3.7,241,279,,
vancouver,goes_nearest_west_GOES18,5.0,-1.9,-6.1,2.1,911,914,,
vancouver,goes_nearest_WINTER,5.0,1.0,-4.6,6.6,274,219,,
vancouver,goes_nearest_east_WINTER,5.0,-2.6,-7.1,1.8,273,220,,
vancouver,goes_nearest_SPRING,5.0,-1.4,-8.0,5.1,296,331,,
vancouver,goes_nearest_east_SPRING,5.0,-1.0,-7.3,5.5,305,331,,
vancouver,goes_nearest_SUMMER,5.0,1.6,-5.9,8.6,260,352,,
vancouver,goes_nearest_east_SUMMER,5.0,1.7,-5.1,8.9,265,353,,
vancouver,goes_nearest_AUTUMN,5.0,0.3,-6.7,7.3,322,295,,
vancouver,goes_nearest_east_AUTUMN,5.0,-3.4,-9.8,3.0,331,299,,
vancouver,human_minus_goes,5.0,8.8,6.6,11.1,1152,1193,,
vancouver,human_minus_goes_east,5.0,10.8,8.4,13.1,1174,1199,,
edmonton,metar_CYEG,0.5,8.7,5.6,11.5,1190,1190,33.8,25.1
edmonton,metar_CYEG_SPRING,0.5,9.8,4.3,15.2,271,271,25.2,15.4
edmonton,metar_CYEG_SUMMER,0.5,8.3,3.9,12.6,551,552,33.6,25.3
