site,family,station,footprint,window,n_nights,n_days,n_draws_night,n_draws_day,night_pct,day_pct,delta_pp,ci_lo,ci_hi
ottawa,east,CYOW,box3,calendar_JunNov,939,997,5000,5000,45.2,38.3,6.9,2.9,10.8
ottawa,east,CYOW,box3,winter,511,456,5000,5000,33.8,27.9,5.9,0.7,11.0
ottawa,east,CYOW,box3,spring,463,511,5000,5000,39.6,33.2,6.4,0.9,11.7
ottawa,east,CYOW,box3,summer,433,525,5000,5000,49.4,40.1,9.3,3.5,14.9
ottawa,east,CYOW,box3,autumn,506,472,5000,5000,41.5,36.3,5.3,-0.5,11.0
ottawa,east,CYOW,box5,full,1913,1964,5000,5000,41.1,34.5,6.6,4.0,9.3
ottawa,east,CYOW,box5,calendar_JunNov,939,997,5000,5000,45.9,38.4,7.5,3.4,11.3
ottawa,east,CYOW,box5,winter,511,456,5000,5000,33.7,27.5,6.2,1.0,11.2
ottawa,east,CYOW,box5,spring,463,511,5000,5000,39.5,33.1,6.4,1.0,11.7
ottawa,east,CYOW,box5,summer,433,525,5000,5000,50.3,39.8,10.5,4.5,16.1
ottawa,east,CYOW,box5,autumn,506,472,5000,5000,42.1,36.8,5.3,-0.5,10.9
toronto,east,CYTZ,nearest,full,1909,1965,4999,5000,39.1,33.6,5.5,2.8,8.0
toronto,east,CYTZ,nearest,calendar_JunNov,943,999,4999,5000,49.4,44.9,4.4,0.7,8.0
toronto,east,CYTZ,nearest,winter,507,453,4999,5000,20.4,11.6,8.8,4.7,12.9
toronto,east,CYTZ,nearest,spring,459,513,4999,5000,38.8,31.1,7.7,2.3,13.0
toronto,east,CYTZ,nearest,summer,437,526,4999,5000,57.2,50.5,6.7,0.8,11.9
toronto,east,CYTZ,nearest,autumn,506,473,4999,5000,42.6,38.8,3.8,-1.7,9.3
toronto,east,CYTZ,box3,full,1909,1965,4999,5000,37.4,34.3,3.1,0.4,5.6
toronto,east,CYTZ,box3,calendar_JunNov,943,999,4999,5000,48.2,44.4,3.9,0.1,7.5
toronto,east,CYTZ,box3,winter,507,453,4999,5000,16.3,15.5,0.8,-3.3,4.9
toronto,east,CYTZ,box3,spring,459,513,4999,5000,38.3,31.3,7.0,1.8,12.4
toronto,east,CYTZ,box3,summer,437,526,4999,5000,56.5,50.0,6.5,0.8,11.8
toronto,east,CYTZ,box3,autumn,506,473,4999,5000,41.1,38.1,2.9,-2.5,8.5
toronto,east,CYTZ,box5,full,1909,1965,4999,5000,34.0,32.9,1.1,-1.6,3.7
toronto,east,CYTZ,box5,calendar_JunNov,943,999,4999,5000,44.8,42.1,2.7,-1.2,6.3
toronto,east,CYTZ,box5,winter,507,453,4999,5000,12.6,15.2,-2.5,-6.4,1.4
toronto,east,CYTZ,box5,spring,459,513,4999,5000,35.4,30.5,4.9,-0.5,10.1
toronto,east,CYTZ,box5,summer,437,526,4999,5000,55.1,48.0,7.1,1.6,12.3
toronto,east,CYTZ,box5,autumn,506,473,4999,5000,35.9,35.5,0.3,-4.9,5.7
toronto,east,CYYZ,nearest,full,1909,1965,5000,5000,37.4,34.5,3.0,0.3,5.5
toronto,east,CYYZ,nearest,calendar_JunNov,943,999,5000,5000,46.1,42.5,3.6,-0.4,7.5
toronto,east,CYYZ,nearest,winter,507,453,5000,5000,20.3,19.5,0.7,-3.6,5.2
toronto,east,CYYZ,nearest,spring,459,513,5000,5000,38.6,31.9,6.7,1.0,12.3
toronto,east,CYYZ,nearest,summer,437,526,5000,5000,54.6,46.8,7.8,2.4,13.3
toronto,east,CYYZ,nearest,autumn,506,473,5000,5000,38.8,37.8,1.0,-4.3,6.2
toronto,east,CYYZ,box3,full,1909,1965,5000,5000,38.2,34.5,3.7,1.0,6.3
toronto,east,CYYZ,box3,calendar_JunNov,943,999,5000,5000,46.7,42.5,4.3,0.3,8.0
toronto,east,CYYZ,box3,winter,507,453,5000,5000,21.4,19.3,2.1,-2.4,6.5
toronto,east,CYYZ,box3,spring,459,513,5000,5000,39.2,32.4,6.8,1.3,12.5
